Date,QQQ_Close,SMA_50,SMA_200,ATR,Signal,Action,TQQQ_Shares,SQQQ_Shares,Cash,Portfolio_Value
4/5/22,361.1,349.0082,369.2337,7.096192857,100% Cash,Hold Cash (100%),0,0,10000,10000
4/6/22,353.26,349.1712,369.26215,7.316235714,100% Cash,Hold,0,0,10000,10000
4/7/22,354.1,349.3618,369.29395,7.13195,100% Cash,Hold,0,0,10000,10000
4/8/22,349.15,349.5228,369.29025,7.038735714,100% Cash,Hold,0,0,10000,10000
4/11/22,340.89,349.3046,369.2474,7.099092857,100% Cash,Hold,0,0,10000,10000
4/12/22,339.45,348.8326,369.1761,7.368021429,100% Cash,Hold,0,0,10000,10000
4/13/22,346.35,348.4492,369.1329,7.386871429,100% Cash,Hold,0,0,10000,10000
4/14/22,338.43,347.848,369.0529,7.603571429,100% Cash,Hold,0,0,10000,10000
4/18/22,338.69,347.5508,368.9735,7.482785714,100% Cash,Hold,0,0,10000,10000
4/19/22,346.26,347.3158,368.9116,7.6935,100% Cash,Hold,0,0,10000,10000
4/20/22,341.21,347.0374,368.8167,7.834928571,100% Cash,Hold,0,0,10000,10000
4/21/22,334.15,346.538,368.6827,8.459928571,100% SQQQ,Buy SQQQ (100%),0,9.56937799,0,10000
4/22/22,325.4,345.7114,368.51585,8.8585,100% SQQQ,Hold,0,9.56937799,0,10799.04306
4/25/22,329.58,345.1344,368.3587,8.859214286,100% SQQQ,Hold,0,9.56937799,0,10377.99043
4/26/22,317.14,344.536,368.1323,9.098857143,100% SQQQ,Hold,0,9.56937799,0,11531.10048
4/27/22,316.76,343.9214,367.904,8.908857143,100% SQQQ,Hold,0,9.56937799,0,11593.30144
4/28/22,328.01,343.359,367.7287,9.299571429,100% SQQQ,Hold,0,9.56937799,0,10370.8134
4/29/22,313.25,342.5032,367.49235,10.00028571,100% SQQQ,Hold,0,9.56937799,0,11729.66507
5/2/22,318.48,341.9638,367.29675,10.03314286,100% SQQQ,Hold,0,9.56937799,0,11157.89474
5/3/22,318.82,341.51,367.1175,9.714214286,100% SQQQ,Hold,0,9.56937799,0,11131.57895
5/4/22,329.6,341.3404,366.97155,10.28771429,100% SQQQ,Hold,0,9.56937799,0,9997.607656
5/5/22,313,341.012,366.72875,11.08914286,100% SQQQ,Hold,0,9.56937799,0,11471.29187
5/6/22,309.25,340.3872,366.45525,11.42742857,100% SQQQ,Hold,0,9.56937799,0,11916.26794
5/9/22,297.15,339.4148,366.1,11.69590714,100% SQQQ,Hold,0,9.56937799,0,13303.82775
5/10/22,300.76,338.494,365.76135,11.80947857,100% SQQQ,Hold,0,9.56937799,0,12834.92823
5/11/22,291.84,337.501,365.3984,11.70019286,100% SQQQ,Hold,0,9.56937799,0,13978.4689
5/12/22,291.15,336.3796,365.025,11.71519286,100% SQQQ,Hold,0,9.56937799,0,14057.41627
5/13/22,301.94,335.5732,364.7023,12.02797857,100% SQQQ,Hold,0,9.56937799,0,12545.45455
5/16/22,298.44,334.796,364.37165,11.48547857,100% SQQQ,Hold,0,9.56937799,0,12930.62201
5/17/22,306.17,334.4222,364.0795,11.50262143,100% SQQQ,Hold,0,9.56937799,0,11949.76077
5/18/22,291.14,333.778,363.70115,11.73047857,100% SQQQ,Hold,0,9.56937799,0,13686.60287
5/19/22,289.58,332.8698,363.31235,11.11619286,100% SQQQ,Hold,0,9.56937799,0,13937.79904
5/20/22,288.68,332.018,362.9074,11.43869286,100% SQQQ,Hold,0,9.56937799,0,14050.23923
5/23/22,293.48,331.3996,362.53455,11.53797857,100% SQQQ,Hold,0,9.56937799,0,13351.67464
5/24/22,287.24,330.781,362.1271,11.16876429,100% SQQQ,Hold,0,9.56937799,0,14196.17225
5/25/22,291.26,330.0432,361.7492,10.30519286,100% SQQQ,Hold,0,9.56937799,0,13612.44019
5/26/22,299.33,329.2234,361.4148,10.36126429,100% SQQQ,Hold,0,9.56937799,0,12478.4689
5/27/22,309.1,328.5166,361.12265,10.09635714,100% SQQQ,Hold,0,9.56937799,0,11246.41148
5/31/22,308.28,327.6524,360.81995,9.939928571,100% SQQQ,Hold,0,9.56937799,0,11318.18182
6/1/22,306,326.7708,360.50505,9.6385,100% SQQQ,Hold,0,9.56937799,0,11602.87081
6/2/22,314.38,325.9192,360.2483,9.663492857,100% SQQQ,Hold,0,9.56937799,0,10645.93301
6/3/22,306.2,325.0066,359.96825,9.49285,100% SQQQ,Hold,0,9.56937799,0,11473.68421
6/6/22,307.22,323.958,359.68455,9.607135714,100% SQQQ,Hold,0,9.56937799,0,11351.67464
6/7/22,309.87,322.9684,359.39525,9.597235714,100% SQQQ,Hold,0,9.56937799,0,11064.5933
6/8/22,307.64,321.823,359.0673,8.785092857,100% SQQQ,Hold,0,9.56937799,0,11291.86603
6/9/22,299.4,320.3872,358.69245,9.000092857,100% SQQQ,Hold,0,9.56937799,0,12208.13397
6/10/22,288.84,318.8222,358.26265,8.816235714,100% SQQQ,Hold,0,9.56937799,0,13521.5311
6/13/22,275.41,317.0796,357.7776,9.368378571,100% SQQQ,Hold,0,9.56937799,0,15361.24402
6/14/22,275.91,315.3608,357.27695,8.946414286,100% SQQQ,Hold,0,9.56937799,0,15270.33493
6/15/22,282.8,313.6308,356.78965,9.162842857,100% SQQQ,Hold,0,9.56937799,0,14155.50239
6/16/22,271.39,311.8366,356.24685,9.359271429,100% SQQQ,Hold,0,9.56937799,0,15811.00478
6/17/22,274.69,310.2652,355.7174,9.127707143,100% SQQQ,Hold,0,9.56937799,0,15301.43541
6/21/22,281.08,308.8048,355.2208,9.253421429,100% SQQQ,Hold,0,9.56937799,0,14157.89474
6/22/22,280.67,307.4352,354.7163,9.135564286,100% SQQQ,Hold,0,9.56937799,0,14208.13397
6/23/22,284.85,306.3144,354.23,8.724857143,100% SQQQ,Hold,0,9.56937799,0,13600.47847
6/24/22,294.61,305.4176,353.79915,8.777,100% SQQQ,Hold,0,9.56937799,0,12203.34928
6/27/22,292.45,304.3396,353.36405,8.674135714,100% SQQQ,Hold,0,9.56937799,0,12440.19139
6/28/22,283.54,303.2418,352.8988,8.982607143,100% SQQQ,Hold,0,9.56937799,0,13581.33971
6/29/22,283.8,302.144,352.43615,8.950464286,100% SQQQ,Hold,0,9.56937799,0,13552.63158
6/30/22,280.28,300.8244,351.96125,8.832185714,100% SQQQ,Hold,0,9.56937799,0,14076.55502
7/1/22,282.13,299.6428,351.48165,8.438185714,100% SQQQ,Hold,0,9.56937799,0,13784.689
7/5/22,286.96,298.699,351.0249,8.153892857,100% SQQQ,Hold,0,9.56937799,0,13076.55502
7/6/22,288.8,297.967,350.59975,8.156571429,100% SQQQ,Hold,0,9.56937799,0,12834.92823
7/7/22,294.98,297.275,350.24615,7.869428571,100% SQQQ,Hold,0,9.56937799,0,12028.70813
7/8/22,295.35,296.8392,349.89215,7.305857143,100% SQQQ,Hold,0,9.56937799,0,11971.29187
7/11/22,289.04,296.2848,349.4895,7.34385,100% SQQQ,Hold,0,9.56937799,0,12736.84211
7/12/22,286.24,295.4494,349.0558,7.265992857,100% SQQQ,Hold,0,9.56937799,0,13105.26316
7/13/22,285.65,294.8974,348.6174,7.320278571,100% SQQQ,Hold,0,9.56937799,0,13186.60287
7/14/22,286.67,294.2612,348.199,7.488135714,100% SQQQ,Hold,0,9.56937799,0,13045.45455
7/15/22,291.87,293.7222,347.859,7.139564286,100% SQQQ,Hold,0,9.56937799,0,12354.06699
7/18/22,289.4,292.9182,347.5096,7.330285714,100% SQQQ,Hold,0,9.56937799,0,12653.11005
7/19/22,298.3,292.6242,347.2113,7.108857143,100% Cash,"Sell SQQQ, Hold Cash (100%)",0,0,11519.13876,11519.13876
7/20/22,303.03,292.4998,346.92555,7.237935714,100% Cash,Hold,0,0,11519.13876,11519.13876
7/21/22,307.38,292.7044,346.69935,7.130142857,100% Cash,Hold,0,0,11519.13876,11519.13876
7/22/22,301.99,292.729,346.4224,7.339785714,100% Cash,Hold,0,0,11519.13876,11519.13876
7/25/22,300.27,292.8976,346.1254,6.90765,100% Cash,Hold,0,0,11519.13876,11519.13876
7/26/22,294.37,292.962,345.7824,7.005507143,100% Cash,Hold,0,0,11519.13876,11519.13876
7/27/22,306.81,293.0594,345.51065,7.524792857,100% Cash,Hold,0,0,11519.13876,11519.13876
